Model,Accuracy,Train Time (s),Prediction Time (s),CPU Change (%)
Decision Tree,0.9349375,3.8701815605163574,0.021303653717041016,4.400000000000002
Random Forest,0.9345833333333333,11.923470735549927,0.1036064624786377,64.9
XGBoost,0.9327569444444445,1.6243646144866943,0.027920246124267578,38.3
