Model,Accuracy,Train Time (s),Prediction Time (s),CPU Change (%)
Decision Tree,0.9349375,7.026811361312866,0.03426408767700195,-24.200000000000003
Random Forest,0.9345833333333333,19.129229307174683,0.161607027053833,38.099999999999994
XGBoost,0.9327569444444445,3.373394012451172,0.09219980239868164,5.700000000000003
